Date,Close,Close(t-1),Close(t-2),Close(t-3),Close(t-4),Close(t-5),Close(t-6),Close(t-7)
1997-05-27,0.079167,0.075,0.069792,0.071354,0.081771,0.085417,0.086458,0.097917
1997-05-28,0.076563,0.079167,0.075,0.069792,0.071354,0.081771,0.085417,0.086458
1997-05-29,0.07526,0.076563,0.079167,0.075,0.069792,0.071354,0.081771,0.085417
1997-05-30,0.075,0.07526,0.076563,0.079167,0.075,0.069792,0.071354,0.081771
1997-06-02,0.075521,0.075,0.07526,0.076563,0.079167,0.075,0.069792,0.071354
1997-06-03,0.073958,0.075521,0.075,0.07526,0.076563,0.079167,0.075,0.069792
1997-06-04,0.070833,0.073958,0.075521,0.075,0.07526,0.076563,0.079167,0.075
1997-06-05,0.077083,0.070833,0.073958,0.075521,0.075,0.07526,0.076563,0.079167
1997-06-06,0.082813,0.077083,0.070833,0.073958,0.075521,0.075,0.07526,0.076563
1997-06-09,0.084375,0.082813,0.077083,0.070833,0.073958,0.075521,0.075,0.07526
1997-06-10,0.079167,0.084375,0.082813,0.077083,0.070833,0.073958,0.075521,0.075
1997-06-11,0.077083,0.079167,0.084375,0.082813,0.077083,0.070833,0.073958,0.075521
1997-06-12,0.080208,0.077083,0.079167,0.084375,0.082813,0.077083,0.070833,0.073958
1997-06-13,0.079167,0.080208,0.077083,0.079167,0.084375,0.082813,0.077083,0.070833
1997-06-16,0.078646,0.079167,0.080208,0.077083,0.079167,0.084375,0.082813,0.077083
1997-06-17,0.07526,0.078646,0.079167,0.080208,0.077083,0.079167,0.084375,0.082813
1997-06-18,0.075521,0.07526,0.078646,0.079167,0.080208,0.077083,0.079167,0.084375
1997-06-19,0.075521,0.075521,0.07526,0.078646,0.079167,0.080208,0.077083,0.079167
1997-06-20,0.076302,0.075521,0.075521,0.07526,0.078646,0.079167,0.080208,0.077083
1997-06-23,0.075,0.076302,0.075521,0.075521,0.07526,0.078646,0.079167,0.080208
1997-06-24,0.075521,0.075,0.076302,0.075521,0.075521,0.07526,0.078646,0.079167
1997-06-25,0.075521,0.075521,0.075,0.076302,0.075521,0.075521,0.07526,0.078646
1997-06-26,0.075521,0.075521,0.075521,0.075,0.076302,0.075521,0.075521,0.07526
1997-06-27,0.074479,0.075521,0.075521,0.075521,0.075,0.076302,0.075521,0.075521
1997-06-30,0.077083,0.074479,0.075521,0.075521,0.075521,0.075,0.076302,0.075521
1997-07-01,0.075781,0.077083,0.074479,0.075521,0.075521,0.075521,0.075,0.076302
1997-07-02,0.079427,0.075781,0.077083,0.074479,0.075521,0.075521,0.075521,0.075
1997-07-03,0.095573,0.079427,0.075781,0.077083,0.074479,0.075521,0.075521,0.075521
1997-07-07,0.1,0.095573,0.079427,0.075781,0.077083,0.074479,0.075521,0.075521
1997-07-08,0.115104,0.1,0.095573,0.079427,0.075781,0.077083,0.074479,0.075521
1997-07-09,0.116146,0.115104,0.1,0.095573,0.079427,0.075781,0.077083,0.074479
1997-07-10,0.128125,0.116146,0.115104,0.1,0.095573,0.079427,0.075781,0.077083
1997-07-11,0.114583,0.128125,0.116146,0.115104,0.1,0.095573,0.079427,0.075781
